ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,-6594.4999891453235,3781.83396061078,3842.001294886122,-6594.4999891453235,-6594.4999891453235,10406.181496575928,10406.181496575928,10406.181496575928,10406.181496575928,10406.181496575928,10406.181496575928,0.0,0.0,0.0,3811.681507430604
2020-04-01,-6558.000019867759,3806.251626550612,3865.231899570307,-6558.000019867759,-6558.000019867759,10393.78633224713,10393.78633224713,10393.78633224713,10393.78633224713,10393.78633224713,10393.78633224713,0.0,0.0,0.0,3835.7863123793704
2020-07-01,-6521.479078075155,3839.712512097898,3899.4144417643633,-6521.479078075155,-6521.479078075155,10391.187740146814,10391.187740146814,10391.187740146814,10391.187740146814,10391.187740146814,10391.187740146814,0.0,0.0,0.0,3869.708662071659
2020-10-01,-6484.556199339413,3892.419147465551,3951.591311950359,-6484.556199339413,-6484.556199339413,10405.709978761028,10405.709978761028,10405.709978761028,10405.709978761028,10405.709978761028,10405.709978761028,0.0,0.0,0.0,3921.1537794216147
2021-01-01,-6447.626541298964,3961.2407627563402,4021.2188687561193,-6447.626541298964,-6447.626541298964,10436.62271679904,10436.62271679904,10436.62271679904,10436.62271679904,10436.62271679904,10436.62271679904,0.0,0.0,0.0,3988.996175500076
2021-04-01,-6411.380080760302,3990.4792146664436,4049.4623779488957,-6411.380080760302,-6411.380080760302,10430.286083633931,10430.286083633931,10430.286083633931,10430.286083633931,10430.286083633931,10430.286083633931,0.0,0.0,0.0,4018.9060028736294
2021-07-01,-6374.543903722338,4048.8643634934037,4110.1630906286455,-6374.543903722338,-6374.543903722338,10454.565027080145,10454.565027080145,10454.565027080145,10454.565027080145,10454.565027080145,10454.565027080145,0.0,0.0,0.0,4080.0211233578075
2021-10-01,-6332.44485190027,4029.3513210229057,4090.333012668932,-6332.44485190027,-6332.44485190027,10391.013672517694,10391.013672517694,10391.013672517694,10391.013672517694,10391.013672517694,10391.013672517694,0.0,0.0,0.0,4058.5688206174245
2022-01-01,-6290.31148246978,4118.032691825731,4178.51592147419,-6290.31148246978,-6290.31148246978,10438.445934954965,10438.445934954965,10438.445934954965,10438.445934954965,10438.445934954965,10438.445934954965,0.0,0.0,0.0,4148.134452485186
2022-04-01,-6249.094055936865,4151.068839660048,4211.041854580264,-6249.094055936865,-6249.094055936865,10431.993470359512,10431.993470359512,10431.993470359512,10431.993470359512,10431.993470359512,10431.993470359512,0.0,0.0,0.0,4182.899414422647
2022-07-01,-6207.440111700979,4235.820414571784,4294.0611018667605,-6207.440111700979,-6207.440111700979,10471.308081597885,10471.308081597885,10471.308081597885,10471.308081597885,10471.308081597885,10471.308081597885,0.0,0.0,0.0,4263.867969896905
2022-10-01,-6165.551548550562,4176.009785158286,4235.3788094302545,-6165.551548550562,-6165.551548550562,10371.010911921598,10371.010911921598,10371.010911921598,10371.010911921598,10371.010911921598,10371.010911921598,0.0,0.0,0.0,4205.459363371036
2023-01-01,-6189.6217575128885,4210.4784555360075,4268.9610267887865,-6189.6217575128885,-6189.6217575128885,10428.245885450806,10428.245885450806,10428.245885450806,10428.245885450806,10428.245885450806,10428.245885450806,0.0,0.0,0.0,4238.624127937917
2023-04-01,-6213.248446088553,4155.0827505768475,4217.054672253777,-6213.248446088553,-6213.248446088553,10399.1334636126,10399.1334636126,10399.1334636126,10399.1334636126,10399.1334636126,10399.1334636126,0.0,0.0,0.0,4185.885017524047
2023-07-01,-6237.137653471685,4173.160012026624,4233.192469330259,-6237.137653471685,-6237.137653471685,10441.198198926839,10441.198198926839,10441.198198926839,10441.198198926839,10441.198198926839,10441.198198926839,0.0,0.0,0.0,4204.060545455154
2023-10-01,-6261.289379828393,4054.3046116742325,4113.188962735425,-6261.289379828393,-6261.289379828393,10345.506916112363,10345.506916112363,10345.506916112363,10345.506916112363,10345.506916112363,10345.506916112363,0.0,0.0,0.0,4084.21753628397
2024-01-01,-6285.4411063937,4090.6824369779497,4150.021235210257,-6285.4411063937,-6285.4411063937,10406.181496574383,10406.181496574383,10406.181496574383,10406.181496574383,10406.181496574383,10406.181496574383,0.0,0.0,0.0,4120.740390180684
2024-04-01,-6309.330314191993,4052.815433732423,4116.001572632438,-6309.330314191993,-6309.330314191993,10393.7863322498,10393.7863322498,10393.7863322498,10393.7863322498,10393.7863322498,10393.7863322498,0.0,0.0,0.0,4084.4560180578064
2024-07-01,-6333.219521990286,4026.8906997807358,4087.1485719114903,-6333.219521990286,-6333.219521990286,10391.187740141984,10391.187740141984,10391.187740141984,10391.187740141984,10391.187740141984,10391.187740141984,0.0,0.0,0.0,4057.9682181516982
2024-10-01,-6357.371248555593,4019.1018857598724,4078.065422276331,-6357.371248555593,-6357.371248555593,10405.709978759713,10405.709978759713,10405.709978759713,10405.709978759713,10405.709978759713,10405.709978759713,0.0,0.0,0.0,4048.338730204119
2024-12-31,-6381.260456353887,3959.5202256444995,4020.4978814341835,-6384.766636454001,-6378.169546564008,10372.42952863712,10372.42952863712,10372.42952863712,10372.42952863712,10372.42952863712,10372.42952863712,0.0,0.0,0.0,3991.1690722832327
2025-03-31,-6404.887145385166,3793.6525840803492,3858.318626031818,-6415.9717666425795,-6393.8474180407275,10230.835268466124,10230.835268466124,10230.835268466124,10230.835268466124,10230.835268466124,10230.835268466124,0.0,0.0,0.0,3825.948123080958
2025-06-30,-6428.776353183459,3771.865142686015,3847.9613301081454,-6449.6987933741275,-6406.935760795762,10239.880137225586,10239.880137225586,10239.880137225586,10239.880137225586,10239.880137225586,10239.880137225586,0.0,0.0,0.0,3811.103784042127
