split,model,MAE,RMSE,SMAPE,train_end_date,test_start_date,scope
0,xgb,84.88965407153273,92.35123670989486,0.02416725311000603,2022-12-31,2023-03-31,DEP_13
0,arima,146.11959452419717,176.63407765384036,0.04051111670573111,2022-12-31,2023-03-31,DEP_13
0,prophet,145.89502007951705,211.56500078009782,0.04008184422570703,2022-12-31,2023-03-31,DEP_13
1,xgb,56.17116064214463,59.20236426518168,0.016003492441390838,2023-03-31,2023-06-30,DEP_13
1,arima,138.465221973472,179.4034013126338,0.03880545169411254,2023-03-31,2023-06-30,DEP_13
1,prophet,240.83914431966377,300.915612972553,0.06599765091950194,2023-03-31,2023-06-30,DEP_13
2,xgb,72.79565810974862,74.07441118976801,0.020867865068589,2023-06-30,2023-09-30,DEP_13
2,arima,189.29355078675724,221.52881738750546,0.053200737350032695,2023-06-30,2023-09-30,DEP_13
2,prophet,366.0158236936933,392.7385858156614,0.10014138883083477,2023-06-30,2023-09-30,DEP_13
3,xgb,96.89558436101572,105.53449575169202,0.02773413266005609,2023-09-30,2023-12-31,DEP_13
3,arima,319.6533859524201,320.55057911973734,0.08854974684503182,2023-09-30,2023-12-31,DEP_13
3,prophet,326.040198466883,327.5062222575068,0.09017864112110138,2023-09-30,2023-12-31,DEP_13
4,xgb,12.484455625215105,14.957568902525946,0.003623515734115835,2023-12-31,2024-03-31,DEP_13
4,arima,138.81704908256972,155.31165325748304,0.03910039663481023,2023-12-31,2024-03-31,DEP_13
4,prophet,98.14423767347262,105.31868530895483,0.02805962998823378,2023-12-31,2024-03-31,DEP_13
5,xgb,22.295714164594642,24.487678232738002,0.00645022997863045,2024-03-31,2024-06-30,DEP_13
5,arima,41.97678947750603,43.19076897761074,0.012055143144910116,2024-03-31,2024-06-30,DEP_13
5,prophet,33.97002006522507,43.70634899423945,0.009804237276633376,2024-03-31,2024-06-30,DEP_13
6,xgb,37.41083546273683,53.3266721834335,0.010790433193627628,2024-06-30,2024-09-30,DEP_13
6,arima,58.93238360219277,74.34769862633053,0.017125878856532654,2024-06-30,2024-09-30,DEP_13
6,prophet,110.73849264620662,117.27271686699099,0.03231224917250028,2024-06-30,2024-09-30,DEP_13
