split,model,MAE,RMSE,SMAPE,train_end_date,test_start_date,scope
0,xgb,55.30707292288048,76.60838729277833,0.027396650652916438,2022-12-31,2023-03-31,DEP_59
0,arima,61.57197210082347,86.10144032430934,0.03040561637848148,2022-12-31,2023-03-31,DEP_59
0,prophet,158.45533300024226,197.08918730983893,0.07524124965272742,2022-12-31,2023-03-31,DEP_59
1,xgb,118.2037274880841,129.02128688900976,0.058491466347680876,2023-03-31,2023-06-30,DEP_59
1,arima,114.52495660281232,133.37559420254794,0.0567804075139694,2023-03-31,2023-06-30,DEP_59
1,prophet,235.83763539180342,270.3756257181706,0.11232914726360588,2023-03-31,2023-06-30,DEP_59
2,xgb,103.57910743887584,113.86301216192197,0.05210457964765522,2023-06-30,2023-09-30,DEP_59
2,arima,90.43859612560595,95.40214041854732,0.04576355807882593,2023-06-30,2023-09-30,DEP_59
2,prophet,277.7820045450582,292.8688924484335,0.13324349963163473,2023-06-30,2023-09-30,DEP_59
3,xgb,111.46297164429535,115.57087158900163,0.056211005572653905,2023-09-30,2023-12-31,DEP_59
3,arima,35.27665798476812,44.85474509844951,0.018146732416392652,2023-09-30,2023-12-31,DEP_59
3,prophet,170.7777949148769,172.66292313482126,0.08485558408328239,2023-09-30,2023-12-31,DEP_59
4,xgb,29.38443010721113,31.782676242656997,0.015265206623129426,2023-12-31,2024-03-31,DEP_59
4,arima,126.24637584022821,153.71661745783322,0.06837276257210231,2023-12-31,2024-03-31,DEP_59
4,prophet,51.7798922798014,54.02102834761043,0.026789822628464396,2023-12-31,2024-03-31,DEP_59
5,xgb,48.622361461084665,55.5882600338009,0.025142554459252876,2024-03-31,2024-06-30,DEP_59
5,arima,85.17204799106725,94.26622775196272,0.04472005831617126,2024-03-31,2024-06-30,DEP_59
5,prophet,109.36184865344376,124.90724191515268,0.05778860829912603,2024-03-31,2024-06-30,DEP_59
6,xgb,50.99001165475647,54.61107350505832,0.026228269130930633,2024-06-30,2024-09-30,DEP_59
6,arima,30.29104784706891,33.81193945471386,0.015397863991074547,2024-06-30,2024-09-30,DEP_59
6,prophet,144.84733737386966,151.07620536303477,0.07658229113275289,2024-06-30,2024-09-30,DEP_59
