split,model,MAE,RMSE,SMAPE,train_end_date,test_start_date,scope
0,xgb,57.15851392196316,66.98775089162692,0.02326002270985994,2022-12-31,2023-03-31,FR
0,arima,55.814196773352705,88.1236899030592,0.02264600643150881,2022-12-31,2023-03-31,FR
0,prophet,205.57254814759665,236.04878300418923,0.07980934273811136,2022-12-31,2023-03-31,FR
1,xgb,61.908556901986685,83.48436199749713,0.025390491085810103,2023-03-31,2023-06-30,FR
1,arima,125.05358488542026,149.76736866818808,0.05032978888622331,2023-03-31,2023-06-30,FR
1,prophet,167.17024687352819,201.29232633121833,0.06642104627672146,2023-03-31,2023-06-30,FR
2,xgb,60.53900823121069,82.21340780188298,0.024841923860767726,2023-06-30,2023-09-30,FR
2,arima,114.85206735467068,127.6766054204665,0.046711835955749584,2023-06-30,2023-09-30,FR
2,prophet,152.62764768769694,162.791583442743,0.06152478568362439,2023-06-30,2023-09-30,FR
3,xgb,50.65220689975342,73.27833220659916,0.020896896854578205,2023-09-30,2023-12-31,FR
3,arima,64.46488219692083,76.85400731101939,0.02729959908177465,2023-09-30,2023-12-31,FR
3,prophet,102.64119074146811,105.98120550663555,0.042038749310954,2023-09-30,2023-12-31,FR
4,xgb,40.8285697146938,47.46365813107794,0.017194326971549,2023-12-31,2024-03-31,FR
4,arima,252.14975945035604,283.8764626043665,0.11323053602130989,2023-12-31,2024-03-31,FR
4,prophet,35.16422158953833,37.202821897911434,0.014738352735394231,2023-12-31,2024-03-31,FR
5,xgb,50.33584633103089,64.50093336843312,0.02091776425137685,2024-03-31,2024-06-30,FR
5,arima,105.56542448213133,115.5991823968386,0.04477963383895289,2024-03-31,2024-06-30,FR
5,prophet,99.02865481040169,111.15931764289915,0.041909126119612256,2024-03-31,2024-06-30,FR
6,xgb,72.76369547505692,83.71523620926965,0.030114476296922515,2024-06-30,2024-09-30,FR
6,arima,64.04878665831961,72.94477288129143,0.02577387809119392,2024-06-30,2024-09-30,FR
6,prophet,114.67242933339082,122.08616631614233,0.048154011163714296,2024-06-30,2024-09-30,FR
