split,model,MAE,RMSE,SMAPE,train_end_date,test_start_date,scope
0,xgb,55.30707292288048,76.60838729277833,0.027396650652916438,2022-12-31,2023-03-31,DEP_59
0,arima,61.57197210082347,86.10144032430934,0.03040561637848148,2022-12-31,2023-03-31,DEP_59
0,prophet,158.45533300024226,197.08918730983893,0.07524124965272742,2022-12-31,2023-03-31,DEP_59
1,xgb,118.2037274880841,129.02128688900976,0.058491466347680876,2023-03-31,2023-06-30,DEP_59
1,arima,114.52495660281232,133.37559420254794,0.0567804075139694,2023-03-31,2023-06-30,DEP_59
1,prophet,235.83763539180342,270.3756257181706,0.11232914726360588,2023-03-31,2023-06-30,DEP_59
2,xgb,103.57910743887584,113.86301216192197,0.05210457964765522,2023-06-30,2023-09-30,DEP_59
2,arima,90.43859612560595,95.40214041854732,0.04576355807882593,2023-06-30,2023-09-30,DEP_59
2,prophet,277.7820045450582,292.8688924484335,0.13324349963163473,2023-06-30,2023-09-30,DEP_59
3,xgb,111.46297164429535,115.57087158900163,0.056211005572653905,2023-09-30,2023-12-31,DEP_59
3,arima,35.27665798476812,44.85474509844951,0.018146732416392652,2023-09-30,2023-12-31,DEP_59
3,prophet,170.7777949148769,172.66292313482126,0.08485558408328239,2023-09-30,2023-12-31,DEP_59
4,xgb,29.38443010721113,31.782676242656997,0.015265206623129426,2023-12-31,2024-03-31,DEP_59
4,arima,126.24637584022821,153.71661745783322,0.06837276257210231,2023-12-31,2024-03-31,DEP_59
4,prophet,51.7798922798014,54.02102834761043,0.026789822628464396,2023-12-31,2024-03-31,DEP_59
5,xgb,48.622361461084665,55.5882600338009,0.025142554459252876,2024-03-31,2024-06-30,DEP_59
5,arima,85.17204799106725,94.26622775196272,0.04472005831617126,2024-03-31,2024-06-30,DEP_59
5,prophet,109.36184865344376,124.90724191515268,0.05778860829912603,2024-03-31,2024-06-30,DEP_59
6,xgb,50.99001165475647,54.61107350505832,0.026228269130930633,2024-06-30,2024-09-30,DEP_59
6,arima,30.29104784706891,33.81193945471386,0.015397863991074547,2024-06-30,2024-09-30,DEP_59
6,prophet,144.84733737386966,151.07620536303477,0.07658229113275289,2024-06-30,2024-09-30,DEP_59
0,xgb,542.8501977965279,585.1366282923193,0.052288263858518445,2022-12-31,2023-03-31,DEP_75
0,arima,429.6994222077792,464.067040473198,0.041656027479266194,2022-12-31,2023-03-31,DEP_75
0,prophet,382.8932377118267,412.49871125100685,0.0372140352976319,2022-12-31,2023-03-31,DEP_75
1,xgb,559.6788723908057,596.4856769305633,0.0550119228251748,2023-03-31,2023-06-30,DEP_75
1,arima,349.5845781044559,418.0029141067529,0.03482071458731599,2023-03-31,2023-06-30,DEP_75
1,prophet,301.0609142659823,360.67435918510176,0.03008530907256525,2023-03-31,2023-06-30,DEP_75
2,xgb,447.5445844584824,509.3993171632806,0.04496322294448533,2023-06-30,2023-09-30,DEP_75
2,arima,280.66181550254487,325.8365782504487,0.02852708683474173,2023-06-30,2023-09-30,DEP_75
2,prophet,202.7678768658202,231.73654246908202,0.020677860395945526,2023-06-30,2023-09-30,DEP_75
3,xgb,566.6288030057535,575.8458700527544,0.05706384744700861,2023-09-30,2023-12-31,DEP_75
3,arima,148.05905451141234,182.0497661552721,0.015539394558673127,2023-09-30,2023-12-31,DEP_75
3,prophet,168.06200592948107,197.72841248188195,0.017202270905895066,2023-09-30,2023-12-31,DEP_75
4,xgb,494.7149031300455,498.81456566023087,0.05037877431303808,2023-12-31,2024-03-31,DEP_75
4,arima,199.91529906284813,246.68166113271894,0.021267562612352138,2023-12-31,2024-03-31,DEP_75
4,prophet,159.92568996401633,178.59478324324616,0.016817511960976677,2023-12-31,2024-03-31,DEP_75
5,xgb,442.3842560050566,445.3090485616811,0.04513050845238292,2024-03-31,2024-06-30,DEP_75
5,arima,692.794099551515,769.1690862440698,0.07566395069183335,2024-03-31,2024-06-30,DEP_75
5,prophet,418.60122414132775,483.5579114381797,0.04497324396416418,2024-03-31,2024-06-30,DEP_75
6,xgb,155.79883457939468,182.08411966658443,0.016068882661117535,2024-06-30,2024-09-30,DEP_75
6,arima,727.2854193204989,867.2117566030349,0.07907590901556141,2024-06-30,2024-09-30,DEP_75
6,prophet,590.0319604712199,669.4633644732982,0.06327232531017239,2024-06-30,2024-09-30,DEP_75
0,xgb,84.88965407153273,92.35123670989486,0.02416725311000603,2022-12-31,2023-03-31,DEP_13
0,arima,146.11959452419717,176.63407765384036,0.04051111670573111,2022-12-31,2023-03-31,DEP_13
0,prophet,145.89502007951705,211.56500078009782,0.04008184422570703,2022-12-31,2023-03-31,DEP_13
1,xgb,56.17116064214463,59.20236426518168,0.016003492441390838,2023-03-31,2023-06-30,DEP_13
1,arima,138.465221973472,179.4034013126338,0.03880545169411254,2023-03-31,2023-06-30,DEP_13
1,prophet,240.83914431966377,300.915612972553,0.06599765091950194,2023-03-31,2023-06-30,DEP_13
2,xgb,72.79565810974862,74.07441118976801,0.020867865068589,2023-06-30,2023-09-30,DEP_13
2,arima,189.29355078675724,221.52881738750546,0.053200737350032695,2023-06-30,2023-09-30,DEP_13
2,prophet,366.0158236936933,392.7385858156614,0.10014138883083477,2023-06-30,2023-09-30,DEP_13
3,xgb,96.89558436101572,105.53449575169202,0.02773413266005609,2023-09-30,2023-12-31,DEP_13
3,arima,319.6533859524201,320.55057911973734,0.08854974684503182,2023-09-30,2023-12-31,DEP_13
3,prophet,326.040198466883,327.5062222575068,0.09017864112110138,2023-09-30,2023-12-31,DEP_13
4,xgb,12.484455625215105,14.957568902525946,0.003623515734115835,2023-12-31,2024-03-31,DEP_13
4,arima,138.81704908256972,155.31165325748304,0.03910039663481023,2023-12-31,2024-03-31,DEP_13
4,prophet,98.14423767347262,105.31868530895483,0.02805962998823378,2023-12-31,2024-03-31,DEP_13
5,xgb,22.295714164594642,24.487678232738002,0.00645022997863045,2024-03-31,2024-06-30,DEP_13
5,arima,41.97678947750603,43.19076897761074,0.012055143144910116,2024-03-31,2024-06-30,DEP_13
5,prophet,33.97002006522507,43.70634899423945,0.009804237276633376,2024-03-31,2024-06-30,DEP_13
6,xgb,37.41083546273683,53.3266721834335,0.010790433193627628,2024-06-30,2024-09-30,DEP_13
6,arima,58.93238360219277,74.34769862633053,0.017125878856532654,2024-06-30,2024-09-30,DEP_13
6,prophet,110.73849264620662,117.27271686699099,0.03231224917250028,2024-06-30,2024-09-30,DEP_13
0,xgb,155.75979088534245,159.4190479177755,0.03403341273400604,2022-12-31,2023-03-31,DEP_6
0,arima,60.12057922546819,87.67433216931904,0.012871447540506314,2022-12-31,2023-03-31,DEP_6
0,prophet,104.85874794986967,154.66458530459005,0.022148559703660305,2022-12-31,2023-03-31,DEP_6
1,xgb,43.93373629814232,54.845429318810716,0.009466604100562593,2023-03-31,2023-06-30,DEP_6
1,arima,140.1277738843096,165.42227897998714,0.02964490010964034,2023-03-31,2023-06-30,DEP_6
1,prophet,180.73829464227128,218.8196568842255,0.03795321626265552,2023-03-31,2023-06-30,DEP_6
2,xgb,38.02384032890541,42.966351671290724,0.00819290522244281,2023-06-30,2023-09-30,DEP_6
2,arima,155.66660299278237,170.15412859050036,0.032894007955893194,2023-06-30,2023-09-30,DEP_6
2,prophet,247.83179783944456,261.36872089077167,0.051841109185363964,2023-06-30,2023-09-30,DEP_6
3,xgb,52.2223704180858,59.70104683523655,0.01123119923436194,2023-09-30,2023-12-31,DEP_6
3,arima,156.15097598418174,156.53020279282993,0.03296940721122981,2023-09-30,2023-12-31,DEP_6
3,prophet,162.50232166462,162.62051562828955,0.034302173894262135,2023-09-30,2023-12-31,DEP_6
4,xgb,114.49496470259555,128.53141807335007,0.024598885367065428,2023-12-31,2024-03-31,DEP_6
4,arima,11.313071726524868,14.152296492738737,0.002398328970759699,2023-12-31,2024-03-31,DEP_6
4,prophet,30.58116254059928,32.465951710192726,0.006496367263298377,2023-12-31,2024-03-31,DEP_6
5,xgb,111.16588494018265,128.42343041344645,0.023723508954764203,2024-03-31,2024-06-30,DEP_6
5,arima,13.94498866742083,16.046120738426897,0.0029324815900732197,2024-03-31,2024-06-30,DEP_6
5,prophet,94.88065478045814,104.68325202589783,0.02019602364351214,2024-03-31,2024-06-30,DEP_6
