date,prix_m2_median,n_transactions
2020-03-31,2935.700206720831,5918
2020-06-30,2928.663864401502,5794
2020-09-30,3074.053348255922,7251
2020-12-31,3078.780135451649,8560
2021-03-31,3060.0,7175
2021-06-30,3170.11751538892,8637
2021-09-30,3322.840153899965,9257
2021-12-31,3252.2067363530778,7674
2022-03-31,3335.49924193199,7437
2022-06-30,3402.439024390244,8679
2022-09-30,3566.2373901284654,8636
2022-12-31,3561.6095976006,7241
2023-03-31,3543.814432989691,6621
2023-06-30,3561.783456269758,6690
2023-09-30,3600.834745762712,6413
2023-12-31,3438.78954607978,5457
2024-03-31,3438.9692086966115,4856
2024-06-30,3412.917528469201,5442
2024-09-30,3517.2413793103447,6181
2024-12-31,3454.844006568145,5877
2025-03-31,3445.729756337681,5817
2025-06-30,3510.2276785714284,4614
