date,prix_m2_median,n_transactions
2020-03-31,2130.6209850107066,192415
2020-06-30,2118.5526315789475,190019
2020-09-30,2125.721226844822,227051
2020-12-31,2133.8582677165355,276733
2021-03-31,2178.4674953141957,215064
2021-06-30,2238.805970149254,266840
2021-09-30,2335.7664233576643,298337
2021-12-31,2320.9264450887636,252914
2022-03-31,2411.764705882353,229740
2022-06-30,2468.1591245217423,258422
2022-09-30,2548.3870967741937,275482
2022-12-31,2497.685352428302,230984
2023-03-31,2525.252525252525,195789
2023-06-30,2514.705882352941,202860
2023-09-30,2500.0,205687
2023-12-31,2363.6363636363635,181607
2024-03-31,2380.9523809523807,147784
2024-06-30,2408.695652173913,170323
2024-09-30,2415.510340091454,201698
2024-12-31,2364.1104954847774,190848
2025-03-31,2469.351332398317,182406
2025-06-30,2477.722234296892,115069
